City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,wimauma,27.7125,-82.299,18.21,93,2,1.98,US,1711875670
265,nabire,-3.3667,135.4833,26.94,88,99,1.82,ID,1711875671
266,banff,51.1762,-115.5698,-2.43,86,87,2.57,CA,1711875537
267,ormara,25.2088,64.6357,28.01,36,8,4.74,PK,1711875672
268,poyarkovo,49.6,128.6833,-1.34,69,100,5.28,RU,1711875672
269,piacabucu,-10.4056,-36.4344,25.24,91,93,1.36,BR,1711875673
270,turpan,42.9333,89.1667,24.62,19,100,4.57,CN,1711875673
271,san jose,37.3394,-121.895,9.36,89,0,1.34,US,1711875433
272,saquarema,-22.92,-42.5103,22.5,93,15,3.74,BR,1711875575
273,codrington,-38.2667,141.9667,15.58,85,96,4.65,AU,1711875674
274,benghazi,32.1167,20.0667,24.28,33,0,6.57,LY,1711875675
275,port lincoln,-34.7333,135.8667,17.4,85,77,5.31,AU,1711875675
276,sao joao da barra,-21.6403,-41.0511,23.05,91,57,3.21,BR,1711875676
277,golfito,8.639,-83.166,22.75,80,54,1.51,CR,1711875676
278,shingu,33.7333,135.9833,17.06,75,100,2.38,JP,1711875677
279,papao,-17.75,-149.55,27.82,82,82,9.73,PF,1711875677
280,bardai,11.65,7.2333,35.15,22,51,2.07,NG,1711875678
281,ovalle,-30.5983,-71.2003,19.79,70,0,0.96,CL,1711875559
282,skjern,55.95,8.5,7.4,91,97,4.89,DK,1711875679
283,port moresby,-9.4431,147.1797,26.79,85,100,1.76,PG,1711875679
284,novyy urengoy,66.0833,76.6333,-15.3,90,60,7.12,RU,1711875679
285,gaigeturi,33.4644,126.3183,16.03,72,75,5.66,KR,1711875680
286,crane,31.3974,-102.3501,18.61,83,97,9.04,US,1711875680
287,la passe,45.5549,-0.8967,11.34,87,100,4.0,FR,1711875681
288,oranienburg,52.75,13.2333,19.14,75,41,1.65,DE,1711875681
289,pemangkat,1.1667,108.9667,27.44,82,100,2.57,ID,1711875682
290,shitanjing,39.2342,106.3439,21.43,12,0,5.26,CN,1711875682
291,acarau,-2.8856,-40.12,25.19,88,98,1.67,BR,1711875669
292,kenitra,34.261,-6.5802,19.42,77,38,14.73,MA,1711875683
293,ingeniero jacobacci,-41.3427,-69.5448,5.99,63,99,1.22,AR,1711875683
294,rongelap,11.1635,166.8941,26.81,82,49,9.79,MH,1711875684
295,bajil,15.0584,43.2851,32.42,47,96,2.44,YE,1711875684
296,shchigry,51.8755,36.9043,18.9,52,71,4.4,RU,1711875685
297,fuyu,45.1833,124.8167,3.12,26,5,5.32,CN,1711875685
298,usogorsk,63.4106,48.6872,1.3,100,100,2.22,RU,1711875686
299,kavaratti,10.5669,72.642,28.36,72,67,2.67,IN,1711875687
300,coahuayana de hidalgo,18.7,-103.6583,21.68,57,27,1.82,MX,1711875687
301,vakarai,55.6035,23.8213,18.29,65,69,4.75,LT,1711875688
302,lata,40.1629,-8.3327,9.49,88,92,1.76,PT,1711875688
303,adzope,6.1069,-3.8619,30.2,64,83,1.96,CI,1711875679
304,machico,32.7,-16.7667,20.56,80,40,1.54,PT,1711875689
305,xianju,28.85,120.7333,19.35,92,100,1.52,CN,1711875689
306,bechar,31.6167,-2.2167,16.18,44,0,5.14,DZ,1711875690
307,naama,33.2667,-0.3167,13.63,31,6,5.23,DZ,1711875690
308,zag,46.9441,99.165,7.25,43,100,4.15,MN,1711875691
309,heyuan,23.7333,114.6833,29.38,65,45,3.17,CN,1711875635
310,eldorado at santa fe,35.5264,-105.9347,9.31,30,0,3.13,US,1711875569
311,chu,43.5983,73.7614,10.77,35,96,3.69,KZ,1711875692
312,smithers,54.7804,-127.1743,0.18,80,40,1.03,CA,1711875692
313,zeljezno polje,44.4083,17.9319,18.06,39,19,4.45,BA,1711875693
314,iskateley,67.6803,53.1512,-8.32,87,100,3.58,RU,1711875693
315,chikola,43.1906,43.9209,15.47,52,99,2.31,RU,1711875694
316,solan,30.9167,77.1167,18.27,54,67,3.25,IN,1711875694
317,gwadabawa,13.3561,5.2366,36.99,6,100,4.88,NG,1711875694
318,mejit,10.2753,170.8646,27.41,79,97,9.82,MH,1711875695
319,bannu,32.9854,70.6027,25.09,35,16,1.33,PK,1711875695
320,chauk,20.8833,94.8167,39.91,19,38,2.81,MM,1711875696
321,saipan,15.1355,145.701,27.03,75,9,8.85,MP,1711875696
322,bam,29.106,58.357,23.04,12,100,5.1,IR,1711875697
323,sal rei,16.1833,-22.9167,21.11,64,75,7.2,CV,1711875697
324,richmond,37.5538,-77.4603,13.42,81,40,2.06,US,1711875577
325,gizo,-8.103,156.8419,28.4,79,99,3.49,SB,1711875698
326,lazaro cardenas,17.9583,-102.2,22.08,73,7,1.51,MX,1711875568
327,greenwood,34.1668,-82.1165,14.53,64,0,3.09,US,1711875467
328,yuzhno-kurilsk,44.0306,145.8556,1.88,98,59,4.14,RU,1711875699
329,verdal,63.7933,11.4817,8.02,81,100,1.98,NO,1711875699
330,sant antoni de portmany,38.9807,1.3036,17.99,72,20,5.14,ES,1711875700
331,okha,53.5739,142.9478,-1.4,97,96,4.78,RU,1711875700
332,bac lieu,9.285,105.7244,31.55,60,32,5.83,VN,1711875701
333,leninsk,48.7119,45.1994,14.51,54,20,1.56,RU,1711875701
334,khouribga,32.9333,-6.6,12.62,83,99,11.24,MA,1711875701
335,cidreira,-30.1811,-50.2056,20.78,81,1,2.77,BR,1711875702
336,coquimbo,-29.9533,-71.3436,15.85,94,100,1.03,CL,1711875638
337,xam nua,20.4197,104.0439,34.43,19,75,3.06,LA,1711875703
338,suifenhe,44.4,131.1667,-0.46,49,62,4.68,CN,1711875703
339,nuuk,64.1835,-51.7216,-2.66,80,20,7.2,GL,1711875704
340,college,64.8569,-147.8028,4.18,67,75,3.6,US,1711875602
341,stjordalshalsen,63.4681,10.9262,8.0,61,0,2.06,NO,1711875704
342,bandarbeyla,9.4942,50.8122,29.07,59,95,3.59,SO,1711875705
343,cosala,24.4125,-106.6908,17.35,56,91,1.36,MX,1711875705
